epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.473,0.98552,2.41573,1.24258,0.23262,0.40704,0.192,0.10793,1.52659,2.86899,1.90739,0.000199548,0.000199548,0.0802448
2,278.269,0.97183,2.05849,1.23019,0.14451,0.48899,0.2096,0.14556,1.09526,2.37367,1.48637,0.00039691,0.00039691,0.0604422
3,420.309,0.96526,1.98797,1.22823,0.26964,0.51497,0.31468,0.22115,1.0407,1.74037,1.3678,0.000591633,0.000591633,0.0406369
4,561.81,0.92869,1.88208,1.20561,0.25134,0.44734,0.35539,0.26271,0.89431,1.68717,1.22685,0.000783716,0.000783716,0.020829
5,702.665,0.90439,1.79006,1.20319,0.46553,0.34486,0.36337,0.26233,0.94078,1.67154,1.25543,0.000973159,0.000973159,0.00101841
6,842.917,0.88746,1.73404,1.18976,0.39023,0.38852,0.41327,0.29872,0.96774,1.5454,1.3101,0.000967,0.000967,0.000967
7,983.634,0.86777,1.61404,1.18391,0.46426,0.47485,0.44679,0.33289,0.88988,1.45218,1.22166,0.0009604,0.0009604,0.0009604
8,1124.47,0.86314,1.55479,1.18314,0.53735,0.45192,0.47745,0.3572,0.93314,1.4055,1.29033,0.0009538,0.0009538,0.0009538
9,1265.2,0.8416,1.48922,1.17293,0.64207,0.39347,0.49118,0.3532,0.97027,1.5823,1.30764,0.0009472,0.0009472,0.0009472
10,1405.93,0.82552,1.4176,1.166,0.81331,0.37157,0.53423,0.38373,0.941,1.32582,1.29055,0.0009406,0.0009406,0.0009406
11,1546.71,0.82182,1.36894,1.17133,0.54647,0.51635,0.53849,0.39135,0.95039,1.343,1.28978,0.000934,0.000934,0.000934
12,1687.63,0.8037,1.33592,1.15774,0.63126,0.51029,0.57423,0.43266,0.84052,1.20608,1.18759,0.0009274,0.0009274,0.0009274
13,1828.33,0.80992,1.29436,1.18235,0.7097,0.44402,0.56813,0.42304,0.83811,1.2798,1.19822,0.0009208,0.0009208,0.0009208
14,1969.06,0.81352,1.27194,1.16812,0.52539,0.66929,0.60973,0.45408,0.84705,1.28748,1.20314,0.0009142,0.0009142,0.0009142
15,2109.39,0.80036,1.22031,1.17481,0.5942,0.63684,0.65979,0.49132,0.8548,1.12467,1.22538,0.0009076,0.0009076,0.0009076
16,2250.36,0.77693,1.17227,1.16342,0.61359,0.65323,0.65984,0.49821,0.87265,1.08941,1.2421,0.000901,0.000901,0.000901
17,2391.26,0.77907,1.17492,1.15743,0.63871,0.70367,0.71508,0.53928,0.87635,0.9768,1.25802,0.0008944,0.0008944,0.0008944
18,2531.86,0.77608,1.13062,1.15576,0.68561,0.68459,0.75489,0.56096,0.9447,0.96269,1.31287,0.0008878,0.0008878,0.0008878
19,2672.63,0.76216,1.0855,1.15692,0.67243,0.72214,0.77338,0.58023,0.86293,0.93972,1.22405,0.0008812,0.0008812,0.0008812
20,2813.17,0.76837,1.09319,1.15556,0.82002,0.68121,0.78646,0.58252,0.93397,0.88396,1.30562,0.0008746,0.0008746,0.0008746
21,2954.16,0.76437,1.0665,1.15212,0.7976,0.67069,0.78153,0.59138,0.87746,0.90339,1.23114,0.000868,0.000868,0.000868
22,3095.09,0.75611,1.04424,1.14857,0.73367,0.80187,0.83691,0.64698,0.81428,0.76039,1.17964,0.0008614,0.0008614,0.0008614
23,3235.83,0.75449,0.99222,1.15838,0.77943,0.7773,0.83739,0.61927,0.95492,0.76111,1.32723,0.0008548,0.0008548,0.0008548
